student_id,major
c0feb8c8-5b9b-4120-aec8-397ed12c05ec,Fashion/Apparel design
3656135e-dcb7-4694-a8b8-fd6c01e853f9,"Business administration and management, general"
3c741ef8-b53c-46e4-ad4e-35e215c4326c,Accounting and business/Management
3c741ef8-b53c-46e4-ad4e-35e215c4326c,Cinematography and film/Video production
a0b674c0-ef03-40e6-8dc3-9066b2794f09,"Clinical, counseling and applied psychology, other"
5e0c5604-a74f-4810-8891-323fbe08d84b,"Business administration and management, general"
41d741af-85aa-4d7d-a1bc-8a82bef518cf,International/Globalization studies
ce4ea8f6-7036-41f3-ba75-4c4d85d06a9b,"Business, management, marketing, and related support services, other"
d8a26bc2-e4e8-4a81-aae7-77674febc9d2,Architectural design
a2016e00-77d5-410f-9912-4d5f02280f9e,Cinematography and film/Video production
dd2df082-0126-460c-9ba7-fd4b607b6372,"Hispanic and latin american languages, literatures, and linguistics, general"
41a3e063-d881-4cc6-9d96-4fc672ad99f2,Applied psychology
41a3e063-d881-4cc6-9d96-4fc672ad99f2,Social work
d99da384-8857-4520-bd85-c4fb57e7fd04,Criminology
940bcd0f-03b4-4702-9917-99a204bae30d,"Political science and government, general"
5cbfbbf7-aa7c-41df-8f16-7a9ba74890bc,"Sociology, general"
8ee0f4ef-9d62-4a8f-a1be-ef5ba98abaa1,"Public relations, advertising, and applied communication"
c542fbfd-5323-44a8-9a0d-d535e5d9d106,Environmental studies
85a973cc-9542-4832-97c0-de23c599ce88,Environmental studies
a4ba4f1d-3dbb-4157-9c8d-801d34363790,Secondary education and teaching
c8722f7c-3cc6-441b-a698-3624f704e0ae,"Human resources management and services, other"
8e003c25-c6c6-49b3-a9bf-17572b1dc058,European history
2cdc4f84-985a-482f-9d05-2bd27a23c81e,Pediatric surgery fellowship program
63572b85-c481-40d8-8498-6e893116369c,"Botany/Plant biology, other"
63572b85-c481-40d8-8498-6e893116369c,"Biology/Biological sciences, general"
e71f7937-fc8a-48a2-909a-2dc04cbd8faf,"Accounting and related services, other"
e71f7937-fc8a-48a2-909a-2dc04cbd8faf,"Management information systems, general"
08e72530-8c8d-49aa-b20d-d08229275a69,"Marketing/Marketing management, general"
4dbe1e9e-963e-4c11-be79-99945462f738,"Applied mathematics, other"
34ba81d5-895c-4c86-892b-debb2804a49a,"Applied mathematics, other"
4dbe1e9e-963e-4c11-be79-99945462f738,Applied linguistics
34ba81d5-895c-4c86-892b-debb2804a49a,Applied linguistics
6150dfa4-7c09-4f16-9aba-d232bbfe280d,"Criminal justice and corrections, general"
fd274a78-7f60-44b6-aa09-8c190cbc52ae,Nutrition sciences
f03e2e95-1547-4ea6-9844-e2d7722ab829,Environmental science
b9f4e521-a184-42d7-8768-2752a0b5784f,"Apparel and textiles, general"
3625a183-c719-43f8-a983-52e866aee5d1,Comparative literature
46c21ea1-8989-4d08-8a35-43efcd8511e5,"Political science and government, general"
46c21ea1-8989-4d08-8a35-43efcd8511e5,Spanish language and literature
ed38dafb-87ce-4340-92bf-7dffaf40ecfa,Fashion merchandising
e3287299-7133-4e91-846a-77a6baae9fc8,"Biology/Biological sciences, general"
258c74f5-e856-4d07-a2d4-337f6453286f,American/Us law/Legal studies/Jurisprudence
c2e5b21c-b93f-4473-852b-f9a959754c98,International/Globalization studies
87c8a5f5-f5a5-497c-9263-b1c45392993d,"Business/Corporate communications, other"
7c44d0fe-5e5f-48d0-8a78-9d40d807a8e4,Film/Cinema/Media studies
