student_id,minor
42ff7df2-ed32-4d3d-ab18-51a759088715,Journalism
1d9f3b7e-706c-4006-b702-75bcccff15b9,American/Us law/Legal studies/Jurisprudence
d99da384-8857-4520-bd85-c4fb57e7fd04,Writing
258c74f5-e856-4d07-a2d4-337f6453286f,"Sociology, general"
0b6396bd-712d-4838-a49a-fc1186acb10a,"Sociology, general"
471a6e5b-2c6c-4a40-a2d0-240513a2333a,"Criminal justice and corrections, general"
c542fbfd-5323-44a8-9a0d-d535e5d9d106,"Geological and earth sciences/Geosciences, other"
85a973cc-9542-4832-97c0-de23c599ce88,"Geological and earth sciences/Geosciences, other"
8f748223-aefc-4ff8-92dd-d2317de08d81,"Political science and government, general"
8e003c25-c6c6-49b3-a9bf-17572b1dc058,German language and literature
63572b85-c481-40d8-8498-6e893116369c,Outdoor education
0df48953-fdb7-486e-bfcf-29676a4b11f3,French language and literature
fd274a78-7f60-44b6-aa09-8c190cbc52ae,Accounting and business/Management
d73442d5-6994-455d-bd41-dfd933f7b2a3,"Data science, general"
41d741af-85aa-4d7d-a1bc-8a82bef518cf,French language and literature
b19c6304-7ae8-4ec4-bee4-6896946abc56,Apparel and accessories marketing operations
f03e2e95-1547-4ea6-9844-e2d7722ab829,"Business administration and management, general"
b19c6304-7ae8-4ec4-bee4-6896946abc56,Apparel and textile marketing management
b9f4e521-a184-42d7-8768-2752a0b5784f,"Marketing, other"
ed38dafb-87ce-4340-92bf-7dffaf40ecfa,"Arts, entertainment, and media management, general"
d06d8f65-54ce-4a93-901d-aa3b0185aeb0,Spanish language and literature
4dbe1e9e-963e-4c11-be79-99945462f738,Comparative literature
34ba81d5-895c-4c86-892b-debb2804a49a,Comparative literature
6150dfa4-7c09-4f16-9aba-d232bbfe280d,Social psychology
6150dfa4-7c09-4f16-9aba-d232bbfe280d,Spanish language and literature
5bf76d3b-7a12-4f0f-af8e-ae9b8e0db05d,"Political science and government, general"
62965e90-a969-407e-ae52-c48a9abd6258,"Sociology, general"
e3287299-7133-4e91-846a-77a6baae9fc8,Spanish language and literature
4d527445-e092-4b41-bdaa-d6366af4ee06,Art
97e0bc35-9c8d-4925-9f84-18f67f88f7d3,"Marketing, other"
04294bdc-2497-48e2-b010-0374df08bf26,Photography
37a1f17b-1d42-453b-bbe6-dc411ba52424,"Multi-/Interdisciplinary studies, general"
b5581745-5e8a-42c8-bb96-6086c6d708e1,Mathematics and statistics
b5581745-5e8a-42c8-bb96-6086c6d708e1,Music
b5581745-5e8a-42c8-bb96-6086c6d708e1,Physics and astronomy
d8137033-1a69-4f23-bb63-7cf84dc99b2d,Photography
ea27a982-c1fd-4030-a556-4d86632dc385,"Business administration and management, general"
3c741ef8-b53c-46e4-ad4e-35e215c4326c,"Drama and dramatics/Theatre arts, general"
a0b674c0-ef03-40e6-8dc3-9066b2794f09,"Statistics, general"
f11c0727-e868-4090-b13e-f12918719723,"Hispanic and latin american languages, literatures, and linguistics, general"
f128755f-9866-4944-b112-f800ac63f854,"Data science, general"
dca0d51d-3ccb-4220-ac37-4973c286b2f4,Clinical psychology
c1493cd0-fbe5-4887-9d86-f3123efa1f70,Spanish language and literature
0a057e0f-1e72-44ef-8f03-b361d40541e3,Accounting and business/Management
ebf59c8e-909c-4021-a48c-8ce29f6033b9,Accounting and business/Management
207cbd69-6166-4a40-a26d-f55b4226380c,Theatre/Theater
de67fc57-eeab-4064-904e-e549e9e777a2,"Sociology, general"
de67fc57-eeab-4064-904e-e549e9e777a2,Food science
c1493cd0-fbe5-4887-9d86-f3123efa1f70,Sustainability studies
f064f2e5-f039-4694-a78d-11c94b2ec9d6,Italian language and literature
c1146518-e1fc-41ff-bb3f-11416d36c076,"Applied mathematics, general"
c2e5b21c-b93f-4473-852b-f9a959754c98,Art
c2e5b21c-b93f-4473-852b-f9a959754c98,French language and literature
f54faa50-ece1-436f-b35a-7dfb0ee2622d,Spanish language and literature
78f994e2-394a-474b-b06c-a735d015f008,"Business administration, management and operations, other"
768b5634-e0d8-4d6e-a13e-1d746847a740,Philosophy
5e45a2aa-08cb-4ade-a9fc-117951370bfd,Accounting and business/Management
b1221e3c-3534-458a-ad26-2f854a1ab874,"Microbiology, general"
2c4a6b6d-68a7-46ae-9db6-6e8048dfa4f6,"Chemistry, general"
973c413d-5bc9-429c-a180-60570a7e7db4,Art
593e4d9d-400f-48f0-964d-503c52a3433c,"History, general"
19be400f-7c1c-4d23-bf80-5b84b8df731e,"History, general"
adaae04d-21c7-4637-9669-c38550fcb4f7,International relations and affairs
aa923028-a493-49f0-bc4c-8165d4c9a922,"Business administration, management and operations, other"
05f46814-c0b5-4f8e-ad8d-bae2d6930ef8,Environmental studies
b2a8ef6d-9e49-4ff1-a6c1-78bad387e12a,"Visual and performing arts, general"
2fb91298-ede3-413a-bf1c-d31dcdf932f9,Playwriting and screenwriting
3fa6cd3b-0ff5-45f9-aaae-0d7dbcca549d,Neuroscience
2bcc5124-4935-4b07-8759-c2011b5e113c,"Sociology, general"
475b92b4-fe04-4009-aa65-159842fe5749,"Psychology, general"
9035aa94-a621-43b0-80e7-b8b7d38fb6e6,Spanish language and literature
b565f0e4-a488-4fc6-b8e4-fc6433269f52,"Public health, general"
b565f0e4-a488-4fc6-b8e4-fc6433269f52,Early childhood and family studies
279f65f2-73ad-4386-b926-3aecaed74c32,Industrial engineering
cca2e175-486a-4af7-9c76-e55e88b280ae,Broadcast journalism
27ef3996-238e-41b4-9d33-77502a8abdce,Applied psychology
8338eb80-6643-4878-aea1-2f993521626e,"Business administration and management, general"
8338eb80-6643-4878-aea1-2f993521626e,Entrepreneurship/Entrepreneurial studies
854bf9c9-1f98-4da2-bf63-f9e2a43173f7,Writing
6bae7c2a-a309-4e96-a399-f8d975fdf682,"Statistics, general"
8b10b89d-6ba3-4e02-8e51-1df788f81118,Spanish language and literature
7f3ce714-cde9-4d25-8aed-9767290464b0,"Medical residency/Fellowship programs, other"
9138157a-9a3c-496c-95b8-7dde7991b519,Forensic psychology
f264a875-db86-4b35-b8d7-e7fc524ab761,"Psychology, general"
6e0ae3a5-173d-4bb2-b602-ec9bee57c8ec,"Art history, criticism and conservation"
d11f825e-4814-4f69-9234-ffed0d3e9d46,"Data science, general"
3e5f397e-6cfe-433b-92ba-d518d1f47218,"Anthropology, other"
3e5f397e-6cfe-433b-92ba-d518d1f47218,Pharmacology
a263185f-e29b-4d1c-b5c5-e548c2e918eb,Music
d6bea799-f3f6-48d1-8c52-6892f303f237,Digital arts
e3eef87d-8db6-4279-9531-df1300518fec,Graphic design
21696b0c-8833-4cca-8489-c32449db9ed1,"Marketing, other"
291fa944-3871-4620-bb77-9956d908f7df,"Music, other"
21696b0c-8833-4cca-8489-c32449db9ed1,Italian studies
806f2430-997a-411e-be64-b2f204278ac8,"Psychology, general"
8713fdab-5b11-4d59-9823-e6b4eea6739b,"Multi-/Interdisciplinary studies, other"
d11f825e-4814-4f69-9234-ffed0d3e9d46,"City/Urban, community, and regional planning"
bfcbfbee-1938-4c92-9505-3fc37b583ede,"Fine/Studio arts, general"
fbc5d032-a21c-4073-a647-1a0f6577a574,International business/Trade/Commerce
37f40d6b-e2f7-4c95-a94c-e1df85ebb5d1,"Art history, criticism and conservation"
3f1a404d-a10a-4aa1-874b-3492bc861c1d,Accounting and business/Management
7d11cd0b-be03-4f12-8a39-15076249f8ac,International relations and affairs
7d11cd0b-be03-4f12-8a39-15076249f8ac,Criminology
967ec6c8-e167-479d-bbc8-8d985741c950,Theatre/Theater
22eb4c30-f8fd-42e0-af87-e005910755a2,Real estate
a72ea618-4641-4390-86e3-94659db85c1d,Spanish language and literature
03050aee-5b26-467c-b461-03507166af4d,French studies
84844f39-6a06-43fa-91b3-103558f71c77,International business/Trade/Commerce
d8d34cf8-d3b5-49bd-a14c-c1f467436233,"General merchandising, sales, and related marketing operations, other"
68cb5a98-5555-4fe9-b727-8cb610924861,"Management information systems, general"
fff6c7df-d2a6-43c5-8249-6d4a7b5e70a0,Journalism
8ee0f4ef-9d62-4a8f-a1be-ef5ba98abaa1,Accounting and business/Management
3df299f6-7fce-47ee-b2a6-629e91e8ea23,"Management information systems, general"
fbc5d032-a21c-4073-a647-1a0f6577a574,"Business administration, management and operations, other"
ba61e9d0-1044-4209-a469-44447ec7c00f,Accounting and business/Management
0ad45530-a75c-4fbd-a08c-3ab86697260f,"Data analytics, general"
720724c2-683d-41bf-b8c1-3b92e72dae13,"Economics, general"
31341c6b-e2f9-4c5a-aa5a-38db387c9da3,Applied/Public sociology
31341c6b-e2f9-4c5a-aa5a-38db387c9da3,Women's studies
720724c2-683d-41bf-b8c1-3b92e72dae13,"Business administration, management and operations, other"
2775a6d9-f0ea-4387-9e90-45ce93a38364,"Communication, general"
b0b41a08-8ac8-4bcc-8bc3-6031ab15fecd,Neuroscience
edae52c3-c6eb-473a-ae53-5eebcae582bb,"Business administration, management and operations, other"
8f67e9d1-b8fd-4c2b-88d0-53175d1e77ee,"Business administration, management and operations, other"
2ed2a681-75a1-4d41-8da7-ea69eb1fd2b2,"Political science and government, general"
f9dd480b-e4de-44c8-b44e-334c09eb8a01,"Education, general"
880c235d-6e07-48f5-9683-9920435a7390,"Marketing/Marketing management, general"
9f43bf79-ab4b-459d-b24a-3255abcc6fd5,French studies
9f43bf79-ab4b-459d-b24a-3255abcc6fd5,"Sociology, general"
0847dfbf-1491-4d09-8ce7-8dfb9ad3f52e,"Mathematics, general"
5fa43c87-54d0-4531-a94c-0b0d90c673d4,"Multi-/Interdisciplinary studies, general"
2385ba0c-cf1f-4fa4-882c-70999b0f9728,Child development
6d0314ad-3035-4d2f-85b1-c90434b958ff,International relations and affairs
d1a532ae-da55-4815-a4d7-c57c16faf14a,"Basic skills and developmental/Remedial education, general"
0b3b746d-2362-4438-bad8-b11d3193d976,"Psychology, general"
a645da14-97e9-4e22-af2a-493d9a9a2717,"Psychology, general"
9e8ae77e-6478-49c0-8f58-64b9eb34e8d0,"Political science and government, general"
7fe6b89c-cf69-406c-ac4c-306abc8cc1d0,Women's studies
cba6f331-5fb2-453a-bf71-907eb8080fca,"Business administration and management, general"
b6e3e215-056b-4ad6-81c9-0d8ce3c433a9,"Data science, general"
8151710e-eac9-4398-a492-de75b66abe1d,"Business/Commerce, general"
8151710e-eac9-4398-a492-de75b66abe1d,"Biology/Biological sciences, general"
efea9e7f-06aa-4991-827d-c6db6c440aa9,French studies
056783c2-b674-4420-a660-7833d042d594,French studies
1f133f2b-3e4f-4ece-b568-6f01fef6651c,Rhetoric and composition
54c9aa34-7349-42f5-a6ee-ab8f60e4c1f3,Environmental studies
ac90d887-a908-42e0-b1e6-8d1603be6eef,Linguistics and anthropology
31ef7828-d142-4250-8504-136b5885f3fc,Sport and fitness administration/Management
a2b10b69-7a4a-42a5-bee6-5188a33a6b52,Conservation biology
2d25994a-3dbe-4b8c-ba53-887d188f965d,Philosophy
cfa93d86-4123-4331-b9d1-97bccaf78011,Entrepreneurship/Entrepreneurial studies
e50d4e27-f59c-4d8c-b1a3-a2e943e32fb0,Accounting and business/Management
2a94fcca-3bb9-4484-bb96-66393e2f292c,Religion/Religious studies
dd2df082-0126-460c-9ba7-fd4b607b6372,Language interpretation and translation
54c9aa34-7349-42f5-a6ee-ab8f60e4c1f3,French language and literature
54c9aa34-7349-42f5-a6ee-ab8f60e4c1f3,Architecture
9a318157-d729-4620-902b-bb24303a81fc,"International business, trade, and tax law"
940bcd0f-03b4-4702-9917-99a204bae30d,Spanish language and literature
d0de80d5-e47a-4ba1-a216-e975d000b645,Environmental/Natural resource economics
def3cf92-37ac-4086-add9-55f4ebe905ba,Electrical and computer engineering
0cebe1d9-12a6-4490-8b5c-47bd6940f1f8,"Education, general"
03287a6d-34a0-43d4-bae5-e2d884b9e652,"Business administration and management, general"
03287a6d-34a0-43d4-bae5-e2d884b9e652,"Hospitality administration/Management, general"
bd0a8425-aed7-4faa-b410-316ad8562e6f,"Communication, general"
1e6a097a-3aab-48e5-8fca-b4d78c02e5ee,"Communication and media studies, other"
d59b4fb9-7035-4dad-b3bd-a0bbe30c13ae,"Drama and dramatics/Theatre arts, general"
bf12613b-ec9d-46db-a6c4-95051feb4e16,"Marketing, other"
988a7d1c-7ab7-481f-9810-26fe19c54a7c,"Marketing, other"
f36886a3-2eb0-471e-b3e5-aa3fbb6e4650,Spanish language and literature
0cebe1d9-12a6-4490-8b5c-47bd6940f1f8,Spanish language and literature
0575e99c-9db6-4659-8657-e42eb5eff849,Digital communication and media/Multimedia
550dda35-45e1-4094-9479-d7b20444466d,Real estate
729bfda2-2eca-4421-aab2-7ca1d91780d1,Human nutrition
d7b02748-a449-41eb-a3d7-b5bdae692c49,"Public policy analysis, general"
bba2855a-9750-4769-b46b-a004a75576df,"Business/Corporate communications, other"
f76b3121-2a0e-40d9-8070-51bb36f6536c,Sustainability studies
6bfcd22b-da81-4427-9147-19776128e21d,Spanish language and literature
ea87c4d0-c699-4aa1-a71c-4e6e05aeb3b3,"Business administration, management and operations, other"
a5ddc98a-0a9e-4cab-a418-9a09cb27dbae,Medical anthropology
ee3ea837-204f-4fce-baaa-a6c823adb719,Art
379917e7-24cc-4b32-b019-a98e30be2d31,"Statistics, general"
379917e7-24cc-4b32-b019-a98e30be2d31,"Biology/Biological sciences, general"
00cfcfaa-7756-4aa9-a094-ee118ccac3b1,"Marketing/Marketing management, general"
7c44d0fe-5e5f-48d0-8a78-9d40d807a8e4,Women's studies
e5d6754b-3b06-44c0-a89a-b7c2930ca735,International business/Trade/Commerce
fa2d3750-323f-45af-94a3-9e81a3349aa1,"Business administration, management and operations, other"
b61faa55-8f39-4f54-8e2f-e891841ad2b6,"Mathematics, general"
0b785839-712e-4a64-8673-c9b7563ff292,Near and middle eastern studies
2fb91298-ede3-413a-bf1c-d31dcdf932f9,Film/Cinema/Media studies
1dabe861-c30b-49fd-be57-4265cb4ebcc4,"City/Urban, community, and regional planning"
65b40068-7c00-4e30-8894-6419a9a32bf9,Social psychology
3200306c-83d7-4e77-b65d-da7c3b8042d7,"Human resources management and services, other"
488ad888-6116-41d2-99e6-7c08c35c1515,Spanish language and literature
f8971925-4c0a-4ff0-a7c9-99e7fa3e6f33,American/Us law/Legal studies/Jurisprudence
324963c0-09ef-4065-a55d-959bf8232339,"Marketing/Marketing management, general"
4ddaaf48-3275-4142-81fd-e769b7c195a3,Cinematography and film/Video production
5bc7e920-7152-4cd7-9012-9ee096db502a,Costume design
55d78cce-b5e5-4e66-bb5d-99780cbec922,"Neurobiology and neurosciences, other"
9b688daa-ff6f-44ec-83c4-7fd664e559b8,
b5f13917-f766-4752-9017-f47e74b85c82,"Psychology, general"
2f76aa0b-87d5-445a-a7b0-4fc728f2513d,Spanish language and literature
2f76aa0b-87d5-445a-a7b0-4fc728f2513d,"Corrections and criminal justice, other"
5e0c5604-a74f-4810-8891-323fbe08d84b,Sports and exercise
9497202c-397f-440b-872e-d023eb7ec3f2,Spanish language and literature
5e951a75-b8fe-4637-bac6-e6ebc63216fe,"Psychology, general"
d3c205c6-3c71-40c8-a814-87099e755bf1,"Marketing/Marketing management, general"
d3c205c6-3c71-40c8-a814-87099e755bf1,"Multi-/Interdisciplinary studies, general"
cacacd37-881c-4bf6-bab2-68e2d1cad752,"Business administration, management and operations, other"
d33729b3-98d5-4a88-81f8-7ac30830bebb,Japanese language and literature
41967c56-fee6-41a8-b6fb-b592ece06a0d,"Fine/Studio arts, general"
6b4beda8-1781-4899-ba2b-0390f94dd301,"Finance, general"
7b39a986-da62-44a7-854b-3a1163ab9d20,"Architectural history and criticism, general"
9c59c83f-3592-495f-96bd-3a271d95751e,Organizational leadership
bfe97b9b-19cf-49fa-92b9-1abf5baf4c05,"Political science and government, general"
